school_name,state_name,enrollment
Vasquez High,California,359
Meadowlark Elementary,California,463
High Desert,California,272
Assurance Learning Academy,California,955
Inspire Charter School,California,1978
Albert Einstein Acad for Ltrs Arts & Scis - Odyssey,California,221
SCALE Leadership Academy,California,172
Academy of Arts and Sciences: Los Angeles (9-12),California,
Albert Einstein Acad Ltrs Arts Scis - Aqua Dulce Part. Acad,California,143
SIATech Academy South,California,121
Valiant Academy of Los Angeles,California,56
Academy of Arts and Sciences: Los Angeles (K-8),California,
Method Schools High,California,13
iLEAD Hybrid,California,2370
Method Schools K-8,California,23
Albert Einstein Academy for Letters Arts and Sciences-STEAM,California,476
Community Collaborative Charter,California,1924
Empower Generations,California,11
Academy of Arts and Sciences: Los Angeles,California,447
Pathways Academy Charter School Adult Education,California,12
California School for the Blind,California,39
California School for the Deaf-Fremont,California,380
Manor Elementary,California,356
White Hill Middle,California,789
Brookside Elementary,California,354
Wade Thomas Elementary,California,392
Hidden Valley Elementary,California,334
California School for the Deaf-Riverside,California,352
Sierra Madre High (Continuation),California,0
Cuyama Valley High,California,60
Cuyama Elementary,California,163
California STEAM Santa Barbara,California,22
Herlong High,California,52
Fort Sage Middle,California,17
Sierra Primary,California,57
Mt. Lassen Charter,California,114
Washington Elementary,California,11
Grizzly Hill,California,84
Twin Ridges Special Education Preschool,California,
Antelope Creek Elementary,California,484
Rocklin High,California,2068
Breen Elementary,California,542
Victory High,California,73
Twin Oaks Elementary,California,488
Granite Oaks Middle,California,981
Spring View Middle,California,875
Rocklin Academy,California,372
Valley View Elementary,California,398
Sierra Elementary,California,557
Parker Whitney Elementary,California,443
Rocklin Elementary,California,541
Cobblestone Elementary,California,422
Rock Creek Elementary,California,578
Ruhkala Elementary,California,385
Whitney High,California,1861
Rocklin Academy at Meyers Street,California,183
Maria Montessori Charter Academy,California,272
Western Sierra Collegiate Academy,California,755
Sunset Ranch Elementary,California,826
Rocklin Independent Charter Academy,California,137
Topaz Preparatory Academy,California,663
Sultana High,California,1936
Shadow Ridge,California,165
Mesquite Trails Elementary,California,930
Hesperia Community Day,California,18
Hesperia High,California,1951
Mojave High,California,333
Joshua Circle Elementary,California,728
Juniper Elementary,California,683
Eucalyptus Elementary,California,656
Hesperia Junior High,California,985
Mesa Grande Elementary,California,584
Kingston Elementary,California,656
Maple Elementary,California,769
Cottonwood Elementary,California,864
Lime Street Elementary,California,828
Hollyvale Elementary,California,401
Carmel Elementary,California,766
Ranchero Middle,California,1049
Summit Leadership Academy-High Desert,California,215
Cypress School of the Arts,California,840
Pathways to College,California,345
Mirus Secondary,California,248
Canyon Ridge High,California,208
Cedar Middle,California,1167
Mission Crest Elementary,California,1016
LaVerne Elementary Preparatory Academy,California,442
Encore Jr./Sr. High Sch for the Perf and Visual Arts,California,1085
Krystal School of Science Math & Technology,California,852
Oak Hills High,California,2446
Mountain View High,California,18
Lucerne Valley Community Day,California,0
Lucerne Valley Elementary,California,399
Lucerne Valley Middle,California,100
Lucerne Valley High,California,209
Sky Mountain Charter,California,1910
Hillside High,California,184
Upland High,California,3313
Baldy View Elementary,California,635
Cabrillo Elementary,California,705
Citrus Elementary,California,608
Foothill Knolls STEM Academy of Innovation,California,587
